Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
22.06.2020	14:29:49	Einfahren 15 Zyklen	20,007477	499,700000	0,994766	0,055731	0,947202	0,055632	7,465223	0,418232	3,750000	3,822009	-1879,750456	2917,857799	0,000000	0,000000	-19,272964	7176,759239	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:53	Einfahren 15 Zyklen	19,935883	998,000000	1,947966	0,051712	1,900402	0,051613	7,319512	0,194308	3,750000	3,808477	-1882,191435	2927,646409	0,000000	0,000000	-19,298715	6967,395106	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:57	Einfahren 15 Zyklen	19,951579	1498,000000	2,893722	0,059881	2,846157	0,059783	7,243963	0,149903	3,750000	3,811393	-1881,127418	2927,593756	0,000000	0,000000	-19,287490	6968,521288	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:00	Einfahren 15 Zyklen	19,988202	1998,000000	3,836249	0,058761	3,788685	0,058663	7,200167	0,110288	3,750000	3,818406	-1882,191435	2927,554266	0,000000	0,000000	-19,298715	6969,365924	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:03	Einfahren 15 Zyklen	24,009049	499,700000	0,913795	0,054874	0,866231	0,054775	6,857579	0,411804	3,750000	4,586574	-1129,744060	3009,321938	0,000000	0,000000	-11,467658	5220,474439	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:08	Einfahren 15 Zyklen	23,933961	998,000000	1,787672	0,053359	1,740108	0,053260	6,717204	0,200497	3,750000	4,572187	-1130,182185	3019,454470	0,000000	0,000000	-11,472157	5003,754338	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:11	Einfahren 15 Zyklen	23,969913	1498,000000	2,652259	0,040841	2,604695	0,040742	6,639500	0,102239	3,750000	4,579085	-1128,304508	3019,347517	0,000000	0,000000	-11,452876	5006,041900	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:14	Einfahren 15 Zyklen	23,996985	1998,000000	3,519086	0,045321	3,471522	0,045222	6,604892	0,085062	3,750000	4,584286	-1129,180757	3019,294863	0,000000	0,000000	-11,461873	5007,168085	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:17	Einfahren 15 Zyklen	27,946309	499,700000	0,859771	0,052634	0,812207	0,052535	6,452153	0,394994	3,750000	5,338932	-384,995069	3100,452310	0,000000	0,000000	-3,916893	3271,328451	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:22	Einfahren 15 Zyklen	27,976221	998,000000	1,663087	0,053161	1,615522	0,053062	6,249073	0,199754	3,750000	5,344275	-371,100264	3110,879402	0,000000	0,000000	-3,777814	3048,308129	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:25	Einfahren 15 Zyklen	27,962177	1498,000000	2,452830	0,065811	2,405266	0,065712	6,140263	0,164747	3,750000	5,341661	-380,363467	3110,843202	0,000000	0,000000	-3,870526	3049,082383	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:28	Einfahren 15 Zyklen	27,967633	1998,000000	3,268927	0,050262	3,221363	0,050164	6,135374	0,094336	3,750000	5,342802	-374,292314	3110,800421	0,000000	0,000000	-3,809759	3049,997410	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:32	Einfahren 15 Zyklen	29,995938	499,700000	0,830848	0,054808	0,783284	0,054710	6,235102	0,411310	3,750000	5,730534	0,992615	3150,239772	0,000000	0,000000	-0,076929	2206,447107	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:36	Einfahren 15 Zyklen	29,926322	998,000000	1,602540	0,047166	1,554975	0,047067	6,021567	0,177227	3,750000	5,716890	3,496183	3160,786997	0,000000	0,000000	-0,052180	1980,857316	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:39	Einfahren 15 Zyklen	29,918474	1498,000000	2,376340	0,051448	2,328775	0,051350	5,948781	0,128793	3,750000	5,715509	-1,135419	3160,768897	0,000000	0,000000	-0,097967	1981,244444	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:43	Einfahren 15 Zyklen	29,935822	1998,000000	3,153368	0,049867	3,105804	0,049768	5,918483	0,093594	3,750000	5,718810	-0,259169	3160,663590	0,000000	0,000000	-0,089304	1983,496823	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:53	Einfahren 15 Zyklen	1,020244	499,700000	3,673912	0,050262	3,626348	0,050164	27,570885	0,377195	3,750000	0,194901	-5454,656704	2434,676654	0,000000	0,000000	-59,862234	17511,300557	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:30:57	Einfahren 15 Zyklen	1,032429	998,000000	7,215935	0,056455	7,168370	0,056357	27,113983	0,212132	3,750000	0,197236	-5451,214299	2443,005664	0,000000	0,000000	-59,819923	17333,155142	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:31:01	Einfahren 15 Zyklen	1,035871	1498,000000	10,758684	0,047825	10,711119	0,047726	26,932619	0,119721	3,750000	0,197906	-5449,148857	2442,895423	0,000000	0,000000	-59,794541	17335,513053	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
